id_atributo,variavel,descricao,tipo,tamanho,grupo
60,IN_SALA_ATENDIMENTO_ESPECIAL,Sala de Recursos Multifuncionais (AEE),Bool,1,ACESSIBILIDADE
61,IN_TERREIRAO,Terreirão,Bool,1,LAZER E CONVIVENCIA
62,IN_DEPENDENCIAS_OUTRAS,Nenhuma das dependências relacionadas,Bool,1,OUTROS
63,IN_ACESSIBILIDADE_CORRIMAO,Corrimão e guarda corpos,Bool,1,ACESSIBILIDADE
64,IN_ACESSIBILIDADE_ELEVADOR,Elevador,Bool,1,ACESSIBILIDADE
65,IN_ACESSIBILIDADE_PISOS_TATEIS,Pisos táteis,Bool,1,ACESSIBILIDADE
66,IN_ACESSIBILIDADE_VAO_LIVRE,Portas com vão livre >= 80 cm,Bool,1,ACESSIBILIDADE
67,IN_ACESSIBILIDADE_RAMPAS,Rampas,Bool,1,ACESSIBILIDADE
68,IN_ACESSIBILIDADE_SINAL_SONORO,Sinalização sonora,Bool,1,ACESSIBILIDADE
69,IN_ACESSIBILIDADE_SINAL_TATIL,Sinalização tátil,Bool,1,ACESSIBILIDADE
70,IN_ACESSIBILIDADE_SINAL_VISUAL,Sinalização visual,Bool,1,ACESSIBILIDADE
71,IN_ACESSIBILIDADE_SINALIZACAO,Sinalização/alarme luminoso,Bool,1,ACESSIBILIDADE
72,QT_SALAS_UTILIZADAS_DENTRO,Número de salas de aula - Dentro do prédio,Num,4,ESPACO PEDAGOGICO
73,QT_SALAS_UTILIZADAS_FORA,Número de salas de aula - Fora do prédio,Num,4,ESPACO PEDAGOGICO
74,QT_SALAS_UTILIZADAS,Número de salas de aula utilizadas,Num,4,ESPACO PEDAGOGICO
75,QT_SALAS_UTILIZA_CLIMATIZADAS,Número de salas de aula climatizadas,Num,4,ESPACO PEDAGOGICO
76,QT_SALAS_UTILIZADAS_ACESSIVEIS,Salas de aula com acessibilidade,Num,4,ACESSIBILIDADE
77,IN_EQUIP_PARABOLICA,Antena parabólica,Bool,1,EQUIPAMENTOS
78,IN_COMPUTADOR,Computador (Existência),Bool,1,EQUIPAMENTOS
79,IN_EQUIP_COPIADORA,Copiadora,Bool,1,EQUIPAMENTOS
80,IN_EQUIP_IMPRESSORA,Impressora,Bool,1,EQUIPAMENTOS
81,IN_EQUIP_IMPRESSORA_MULT,Impressora Multifuncional,Bool,1,EQUIPAMENTOS
82,IN_EQUIP_SCANNER,Scanner,Bool,1,EQUIPAMENTOS
83,IN_EQUIP_DVD,DVD/Blu-ray (Existência),Bool,1,EQUIPAMENTOS
84,QT_EQUIP_DVD,Quantidade de DVD/Blu-ray,Num,5,EQUIPAMENTOS
85,QT_EQUIP_SOM,Quantidade de Aparelhos de som,Num,5,EQUIPAMENTOS
86,QT_EQUIP_TV,Quantidade de Televisões,Num,5,EQUIPAMENTOS
87,QT_EQUIP_LOUSA_DIGITAL,Quantidade de Lousas digitais,Num,5,EQUIPAMENTOS
88,QT_EQUIP_MULTIMIDIA,Quantidade de Projetores Multimídia,Num,5,EQUIPAMENTOS
89,QT_DESKTOP_ALUNO,Quantidade de computadores de mesa - Aluno,Num,5,EQUIPAMENTOS
90,QT_COMP_PORTATIL_ALUNO,Quantidade de computadores portáteis - Aluno,Num,5,EQUIPAMENTOS
91,QT_TABLET_ALUNO,Quantidade de Tablets - Aluno,Num,5,EQUIPAMENTOS
92,IN_INTERNET,Acesso à Internet,Bool,1,ABASTECIMENTO E SERVICOS
93,IN_INTERNET_ALUNOS,Internet - Uso dos alunos,Bool,1,ABASTECIMENTO E SERVICOS
94,IN_INTERNET_ADMINISTRATIVO,Internet - Uso administrativo,Bool,1,ABASTECIMENTO E SERVICOS
95,IN_INTERNET_APRENDIZAGEM,Internet - Uso ensino/aprendizagem,Bool,1,ABASTECIMENTO E SERVICOS
96,IN_INTERNET_COMUNIDADE,Internet - Uso da comunidade,Bool,1,ABASTECIMENTO E SERVICOS
97,IN_ACESSO_INTERNET_COMPUTADOR,Internet via equipamentos da escola,Bool,1,ABASTECIMENTO E SERVICOS
98,IN_ACES_INTERNET_DISP_PESSOAIS,Internet via dispositivos pessoais,Bool,1,ABASTECIMENTO E SERVICOS
99,TP_REDE_LOCAL,Rede local de interligação,Bool,1,ABASTECIMENTO E SERVICOS
100,IN_BANDA_LARGA,Internet Banda Larga,Bool,1,ABASTECIMENTO E SERVICOS
101,IN_ALIMENTACAO,Alimentação escolar,Bool,1,HIGIENE E BEM-ESTAR
102,IN_MATERIAL_PED_MULTIMIDIA,Acervo multimídia,Bool,1,MATERIAIS PEDAGOGICOS
103,IN_MATERIAL_PED_INFANTIL,Brinquedos para Educação Infantil,Bool,1,MATERIAIS PEDAGOGICOS
104,IN_MATERIAL_PED_CIENTIFICO,Materiais científicos,Bool,1,MATERIAIS PEDAGOGICOS
105,IN_MATERIAL_PED_DIFUSAO,Difusão de som/áudio,Bool,1,MATERIAIS PEDAGOGICOS
106,IN_MATERIAL_PED_MUSICAL,Instrumentos musicais,Bool,1,MATERIAIS PEDAGOGICOS
107,IN_MATERIAL_PED_JOGOS,Jogos Educativos,Bool,1,MATERIAIS PEDAGOGICOS
108,IN_MATERIAL_PED_ARTISTICAS,Materiais culturais/artísticos,Bool,1,MATERIAIS PEDAGOGICOS
109,IN_MATERIAL_PED_PROFISSIONAL,Materiais Ed. Profissional,Bool,1,MATERIAIS PEDAGOGICOS
110,IN_MATERIAL_PED_DESPORTIVA,Materiais desportivos,Bool,1,MATERIAIS PEDAGOGICOS
111,IN_MATERIAL_PED_INDIGENA,Material Indígena,Bool,1,MATERIAIS PEDAGOGICOS
112,IN_MATERIAL_PED_ETNICO,Material Relações Étnico-raciais,Bool,1,MATERIAIS PEDAGOGICOS
113,IN_MATERIAL_PED_CAMPO,Material Educação do Campo,Bool,1,MATERIAIS PEDAGOGICOS
114,IN_MATERIAL_PED_BIL_SURDOS,Material Ed. Bilíngue Surdos,Bool,1,MATERIAIS PEDAGOGICOS
115,IN_MATERIAL_PED_AGRICOLA,Equipamentos área agrícola,Bool,1,MATERIAIS PEDAGOGICOS
116,IN_MATERIAL_PED_QUILOMBOLA,Material Ed. Quilombola,Bool,1,MATERIAIS PEDAGOGICOS
117,IN_MATERIAL_PED_EDU_ESP,Material Educação Especial,Bool,1,MATERIAIS PEDAGOGICOS
