NO_UF,SG_UF,CO_UF,nome_municipio,id_municipio,nome_mesorregiao,id_mesorregiao,nome_escola,id_escola,dependencia,localizacao,funcionamento,sede,alocacao,ocupacao,endereco,telefone
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL AUGUSTINHO RIBEIRO,27041450,3,2,2,,,,"POVOADO SERRA DE FORA, , , , 57660000",996184546
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL FREI DAMIAO,27041468,3,2,2,,,,"POVOADO SITIO DO MEIO, , , , 57660000",996544493
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL GOVERNADOR DIVALDO SURUAGY,27041476,3,2,1,,1,1,"POVOADO BREJO NOVO, , , , 57660000",996350107
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL LUIZA DE OLIVEIRA SURUAGY,27041492,3,2,1,,1,1,"POVOADO TAPERA, , , , 57660000",999709850
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL DR ULISSES BOTELHO,27041514,3,1,1,,1,1,"AVENIDA VALDEMAR DE OLIVEIRA, SN, , CHA DA MANGABEIRA, 57660000",
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL JOSE TENORIO DE ALBUQUERQUE LINS,27041522,3,2,1,,1,1,"POVOADO DUAS ESTRADAS, SN, , ZONA RURAL, 57660000",996010896
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL ED INFANTIL MARLENE PEDROSA,27041549,3,1,1,,1,1,"RUA ALTO DO PATRICIO, SN, , CENTRO, 57660000",999098260
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL DE ENS FUND NOSSA SENHORA DA PIEDADE,27048691,3,1,1,,1,1,"RUA PROF. NICODEMOS JOBIM, 51, , CENTRO, 57660000",996387048
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL DR LUIZ FERREIRA DE SOUZA,27055191,3,1,1,,1,1,"RUA DOUTOR QUINTELA CAVALCANTE, S/N, , CENTRO, 57660000",998334111
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,CENTRO EDUCACIONAL INFANTIL ESTEVAO DA ROCHA LIMA,27055787,3,1,1,,1,1,"CONJUNTO FREI DAMINAO - CHA DA MANGABEIRA, S/N, , ZONA URBANA, 57660000",996155778
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL JOSE JOAQUIM DOS SANTOS,27216217,3,2,2,,,,"POVOADO LIMOEIRINHO, , , ZONA RURAL, 57660000",982036652
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL ANTONINO ZEFERINO DA SILVA,27216268,3,2,2,,,,"POVOADO LAGOA SECA, , , RURAL, 57660000",999640276
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL IMACULADA CONCEICAO,27219720,3,1,1,,1,1,"RUA JUVENAL CAETANO DE OLIVEIRA, 81, , CENTRO, 57660000",998414631
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,CENTRO MUNICIPAL DE EDUCACAO INFANTIL RITA BARROS DAMASO,27230260,3,1,1,,1,1,"AVENIDA VALDEMAR DE OLIVEIRA, SN, , CHA DA MANGABEIRA, 57660000",996155778
Alagoas,AL,27,Anadia,2700201,Leste Alagoano,3,CENTRO MUNICIPAL DE EDUCACAO INFANTIL OZANA CAVALCANTE,27230279,3,2,1,,1,1,"POVOADO TABULEIRO GRANDE, , , , 57660000",999126870
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,CENTRO DE EDUCACAO INFANTIL JOANA D ANGELIS,27016129,3,1,1,,1,2,"RUA DOMINGOS CORREIA, 1021, , CENTRO, 57300010",996282000
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL CARLOS ALBERTO DE ALBUQUERQUE MELO,27016285,3,1,1,,1,3,"RUA JOAO FERREIRA DE ALBUQUERQUE, 423, , STª EDWIRGES, 57310270",999913864
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUND HUGO JOSE CAMELO LIMA,27016323,3,1,2,,,,"PRACA LUIZ PEREIRA LIMA, , , CENTRO, 57300015",
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL SENADOR RUI PALMEIRA,27016331,2,1,1,,1,1,"RUA MANOEL NUNES NETO, SN, , CAPIATA, 57310130",
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL 30 DE OUTUBRO,27016358,2,1,2,,,,"AVENIDA MIGUEL CORREIA AMORIM, , , ZELIA BARBOSA ROCHA, 57305670",35302568
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL ADRIANO JORGE,27016366,2,1,1,,1,1,"AVENIDA RIO BRANCO, 250, ESCOLA, CENTRO, 57300190",991260081
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL ANNA BERNARDES SILVEIRA,27016374,3,2,1,,1,1,"SERRA DOS FERREIRA, S/N, , ZONA RURAL, 57300970",99913822
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL DE EDUCACAO BASICA ARTUR RAMOS,27016382,2,1,1,,1,1,"RUA COSTA CAVALCANTE, SN, , CAVACO, 57306420",
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL AURINO MACIEL,27016390,2,1,1,,1,1,"RUA DOM FELICIO VASCONCELOS, 380, PREDIO, CENTRO, 57300580",996282078
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL DR JOSE TAVARES,27016404,2,1,1,,1,1,"RUA FRANCISCO OTILIO DOS SANTOS, 80, VILA DO PADRE, BAIXA GRANDE, 57300005",99308771
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL MANOEL ANDRE,27016412,2,1,1,,1,1,"AV JOSE LUCIO DA SILVA, SN, , JARDIM ESPERANCA, 57307430",
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL DE EDUCACAO BASICA MANOEL LUCIO DA SILVA,27016420,2,1,1,,1,1,"RUA MANOEL LUCIO DA SILVA, 36, , CACIMBAS, 57304350",35301992
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL PROFº JOSE MOACIR TEOFILO,27016447,2,1,1,,1,1,"RUA ANTONIO FELICIANO, 560, , CANAFISTULA, 57302200",35211680
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL ROTARY,27016455,2,1,1,,1,3,"RUA TEODORICO COSTA, 329, , CENTRO, 57300220",981015294
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL TIBURCIO VALERIANO DA SILVA,27016463,3,1,1,,1,1,"RUA PRESIDENTE DUTRA, SN, , ALTO DO CRUZEIRO, 57312266",99832406
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL DE EDUCACAO BASICA COSTA REGO,27016471,2,1,1,,1,1,"RUA GOVERNADOR LUIZ CAVALCANTE, SN, PREDIO DA UNEAL, ALTO DO CRUZEIRO, 57312270",35225353
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL DE EDUCACAO BASICA LIONS CLUB,27016480,2,1,1,,1,1,"RUA JOSE TERTO, SN, ESCOLA, JARDIM TROPICAL, 57316185",
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL PROFESSOR JOSE QUINTELLA CAVALCANTI,27016510,2,1,1,,1,1,"AVENIDA VENTURA DE FARIAS, SN, , ELDORADO, 57306010",35214608
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL PE JEFFERSON DE CARVALHO,27016528,2,1,1,,1,1,"AVENIDA ANTONIO BARBOSA, SN, , GUARIBAS, 57303400",999737757
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL JESUS REDENTOR,27016536,3,1,1,,1,1,"RUA MANE GARRINCHA, S/N, , MANOEL TELES, 57305060",993922704
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA ESTADUAL DE EDUCACAO BASICA PROFESSOR PEDRO DE FRANCA REIS,27016579,2,1,1,,1,1,"RUA ANTONIO MARROQUIM, SN, , BAIXAO, 57305430",35304116
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL FUNDACAO JOAO XXIII,27016587,3,1,1,,1,3,"R PEDRO ROMUALDO DA SILVA, 809, , BAIXA GRANDE, 57307140",96552419
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL GOVERNADOR FERNANDO COLLOR DE MELLO,27016595,3,2,1,,1,1,"RUA VEREADOR JOSE TERTULIANO DA SILVA-VILA CANAA, S/N, AO LADO DA PAROQUIA, ZONA RURAL, 57318750",994297077
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL EM TEMPO INTEGRAL ZELIA BARBOSA ROCHA,27016641,3,1,1,,1,1,"R DJALMA MATHEUS SANTANA, S/N, , NOVA ESPERANCA, 57316305",996235001
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUND CEL PEDRO SURUAGY,27016650,3,1,1,,1,1,"RUA NOSSA SENHORA DA SALETE, 925, , ITAPOA, 57312390",996941732
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUND JANY CAMELO LIMA,27016668,3,2,1,,1,1,"POVOADO CAPIM, SN, , ZONA RURAL, 57300970",
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUND JOSE PEREIRA SOBRINHO,27016676,3,2,1,,1,1,"POVOADO BAIXA DO CAPIM, S/N, , , 57318250",996727224
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUND LENA CASTELO BRANCO,27016684,3,2,1,,1,1,"POVOADO PAU FERRO, 1, , , 57319200",
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUND MANOEL HUMBERTO DA COSTA,27016706,3,2,1,,1,1,"POV BATINGAS, S/N, ZONA RURAL, BATINGAS, 57300970",981188550
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL MARIETA RODRIGUES PEIXOTO,27016730,3,2,1,,1,1,"SITIO BAIXA DA ONCA, S/N, ZONA RURAL, ZONA RURAL, 57300970",999854652
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL ANA RITA DE CASSIA,27016757,3,1,1,,1,2,"RUA BRAZ VIEIRA DE SANTANA, 85, , PRIMAVERA, 57304430",
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL BOM JARDIM,27016773,3,2,1,,1,1,"POVOADO BOM JARDIM, , , ZONA RURAL, 57318550",982205258
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL MANOEL RODRIGUES DA SILVA,27016781,3,2,1,,1,1,"POVOADO MASSARANDUBA, , , MASSARANDUBA, 57300970",99514065
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENS FUND VER JOAO SATURNINO DE ALMEIDA,27016790,3,1,1,,1,1,"AVENIDA VEREADOR JOAO SATURNINO DE ALMEIDA, S/N, , BOA VISTA, 57303265",999352444
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR LUIZ ALBERTO DE MELO,27016803,3,2,1,,1,1,"VILA PAU D ARCO, S/N, , ZONA RURAL, 57319100",999911290
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL EM TEMPO INTEGRAL ENEAS BENEDITO DOS SANTOS,27016811,3,2,1,,1,1,"POVOADO CANGANDU, S/N, , ZONA RURAL, 57318100",35295086
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL GOVERNADOR DIVALDO SURUAGY,27016820,3,1,1,,1,1,"RUA ADERVAL INACIO DA SILVA, 45, , BRASILIA, 57313705",996641560
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL JOAO BATISTA PEREIRA DA SILVA,27016838,3,1,1,,1,1,"RUA SALVELINO LEITE, 111, , PLANALTO, 57308450",999562437
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL MARIA DE NAZARE,27016846,3,1,1,,1,3,"RUA CLAUDIO DE ALBUQUERQUE LIMA, 2055, , SAO LUIZ, 57301220",
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL OTAVIO LOURENCO DE SOUZA,27016854,3,1,1,,1,1,"LARGO JOAO JOSE DA SILVA, 27, , OLHO D AGUA DOS CAZUZINHOS, 57303775",99209761
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESC DE ENS FUND VOL MARIA DAS NEVES BORGES,27016862,3,1,1,,1,3,"RUA SINESIO FERREIRA LIMA, 383, , SAO LUIZ I, 57301270",996205927
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL MARIA DAS DORES DE CARVALHO LIMA,27016870,3,1,1,,1,3,"RUA SETE DE SETEMBRO, 171, CASA, CENTRO, 57300480",999752218
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL MONSENHOR JOSE SOARES,27016951,3,1,1,,1,1,"R JOAO MEDEIROS LIMA, S/N, , BRASILIANA, 57310500",996177994
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL MANOEL JOAO DA SILVA EDUCACAO EM TEMPO INTEGRAL,27016986,3,2,1,,1,1,"SITIO CARRASCO, SN, , ZONA RURAL, 57300970",999531731
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUND EM TEMPO INTEGRAL PROFESSORA CLAUDECY BISPO DOS SANTOS,27017117,3,1,1,,1,1,"RUA PASTOR JOSE CICERO DE FARIAS, S/N, , JARDIM ESPERANCA, 57307440",999605969
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL CRISPINIANO FERREIRA DE BRITO,27017150,3,1,1,,1,1,"RUA MANOEL LEAL, S/N, , CACIMBAS, 57304562",999389340
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL CONEGO EPITACIO RODRIGUES,27017176,3,2,1,,1,1,"VILA SAO FRANCISCO, S/N, RUA OSVALDO R COLLYN, ZONA RURAL, 57319800",
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL DOMINGOS LOPES DA SILVA,27017184,3,1,1,,1,1,"RUA DOMINGOS LOPES DA SILVA, 611, , CANAFISTULA, 57302150",999103320
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL GERMINO PEDRO DOS SANTOS,27017192,3,2,1,,1,1,"SITIO CANGANDU, , PROXIMO DA IGREJA, ZONA RURAL, 57318100",35295138
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL PROFESSORA LINDINALVA EULALIA DE FARIAS,27017206,3,2,1,,1,1,"RUA EULALIA LEOPOLDINA DE OLIVEIRA, S/N, BAIXA GRANDE CIMA, BOM SUCESSO, 57309200",996247327
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL CLODOALDO PEDRO DA SILVA,27017214,3,2,1,,1,1,"POVOADO FLEXEIRAS, S/N, , ZONA RURAL, 57300970",99171471
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL DJALMA MATEUS SANTANA,27017222,3,1,1,,1,1,"R ROSENDO LIMA, 426, , PRIMAVERA, 57304110",96045035
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUND DEPUTADO JOSE PEREIRA LUCIO,27017249,3,2,1,,1,1,"RUA SAO JOSE, 292, ZONA RURAL, BANANEIRAS, 57318450",35296153
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL GUIMARAES PASSOS,27017257,3,2,1,,1,1,"AREA RURAL, , , AREA RURAL DE ARAPIRACA, 57316899",982122800
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL JOAO CARLOS DE SOUZA,27017265,3,2,1,,1,1,"SITIO PE LEVE VELHO, , , ZONA RURAL, 57300970",998311172
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL JOAO LUCIO DA SILVA,27017273,3,2,1,,0,,"VILA APARECIDA, S/N, , ZONA RURAL, 57319700",81063001
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL 31 DE MARCO,27017311,3,1,1,,1,1,"RUA BRASILIA, 455, , BRASILIA, 57313130",35301492
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR JAYME DE ALTAVILLA,27017320,3,1,1,,1,1,"RUA SANTOS DUMONT, 623, , BAIXAO, 57305420",996126945
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL PEDRO CORREIA DAS GRACAS,27017338,3,1,1,,1,1,"AVENIDA VICENTE NUNES DE ALBUQUERQUE, S/N, , CAITITUS, 57311020",999780089
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL ANTONIO CESARIO DE OLIVEIRA,27017346,3,2,1,,1,1,"VILA SAO JOSE, S/N, , ZONA RURAL, 57318600",996444094
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL PROFESSOR LOURENCO DE ALMEIDA,27017354,3,2,1,,1,1,"BALSAMO, S/N, , ZONA RURAL, 57318700",999461675
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUND TEN CEL LAURY CAPISTRANO,27017362,3,2,1,,1,1,"VILA SAO JOSE, S/Nº, , ZONA RURAL, 57300030",
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL PEDRO ARESTIDES DA SILVA,27017389,3,2,1,,1,1,"RUA OLIMPIO CARVALHO DA PAIXAO, S/N, , ALAZAO, 57317314",994344889
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL WALTER BEZERRA DE LIMA,27017400,3,1,1,,1,3,"R CLAUDIO DE ALBUQUERQUE LIMA, 409, , SAO LUIZ, 57301220",981282191
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,IFAL - CAMPUS ARAPIRACA,27047636,1,1,1,,1,1,"RODOVIA AL-110, 359, , DEPUTADO NEZINHO, 57317291",21266282
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL EM TEMPO INTEGRAL PROFª MARIA CLEONICE BARBOSA DE ALMEIDA,27048560,3,1,1,,1,1,"RUA JOSE PEDRO DA SILVA, S/N, CJ BRISA DO LAGO, OLHO D AGUA CAZUZINHO, 57303837",981529955
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,ESCOLA DE ENSINO FUNDAMENTAL EM TEMPO INTEGRAL PROFESSOR MARIO CESAR FONTES,27048624,3,1,1,,1,1,"RUA DOUTOR CARLOS ANDRE, SN, ESCOLA, PLANALTO, 57308760",996536345
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,CEI PROFA LUIZA MARIA DE OLIVEIRA SANTANA,27048640,3,1,1,,1,1,"RUA PAU BRASIL, S/N, JARDIM DAS PAINEIRAS, SENADOR NILO COELHO, 57309495",999153080
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,CENTRO DE EDUCACAO INFANTIL PROFª DEUSDETH BARBOSA DA SILVA,27048926,3,1,1,,1,1,"RUA MANOEL VITALINO DA SILVA, SN, QD 5, OLHO DAGUA DOS CAZUZINHOS, 57303840",
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,CENTRO DE EDUCACAO INFANTIL MANOEL ROLIM,27049353,3,2,1,,1,2,"SITIO FERNANDES, 570, CASA, RURAL, 57300970",96513074
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,CAAEC ADALBERTO SATURNINO DE ALMEIDA,27049582,3,2,2,,,,"AVENIDA NOSSA SENHORA DAS GRACAS, S/N, , BATINGAS, 57300970",999444044
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,CENTRO DE EDUCACAO INFANTIL PROFª BERENICE MIRANDA NETO,27051145,3,1,1,,1,1,"RUA JANY CAMELO LIMA, 360, , PLANALTO, 57308310",996778132
Alagoas,AL,27,Arapiraca,2700300,Agreste Alagoano,2,COLEGIO DA POLICIA MILITAR TIRADENTES - UNIDADE AGRESTE,27051528,2,1,1,,1,1,"RUA ROSALVO EDUARDO, 145, , BOM SUCESSO, 57309069",996003795
